"Organism","Cluster ID","Name","Accession","Chromosome","Strand","Start","Stop","Precursors in cluster","Spanning size of cluster"
"Homo sapiens","hsa_118","hsa-mir-5692a-2","MI0019298","chr8","+","12719132","12719190","3","8168"
"Homo sapiens","hsa_118","hsa-mir-3926-1","MI0016434","chr8","-","12727232","12727304","3","8168"
"Homo sapiens","hsa_118","hsa-mir-3926-2","MI0016437","chr8","+","12727237","12727299","3","8168"
"Homo sapiens","hsa_127","hsa-mir-939","MI0005761","chr8","-","144394149","144394230","3","6197"
"Homo sapiens","hsa_127","hsa-mir-1234","MI0006324","chr8","-","144400086","144400165","3","6197"
"Homo sapiens","hsa_127","hsa-mir-6849","MI0022695","chr8","-","144400277","144400345","3","6197"
"Homo sapiens","hsa_129","hsa-let-7a-1","MI0000060","chr9","+","94175957","94176036","3","2964"
"Homo sapiens","hsa_129","hsa-let-7f-1","MI0000067","chr9","+","94176347","94176433","3","2964"
"Homo sapiens","hsa_129","hsa-let-7d","MI0000065","chr9","+","94178834","94178920","3","2964"
"Homo sapiens","hsa_141","hsa-mir-421","MI0003685","chrX","-","74218377","74218461","3","242"
"Homo sapiens","hsa_141","hsa-mir-374b","MI0005566","chrX","-","74218547","74218618","3","242"
"Homo sapiens","hsa_141","hsa-mir-374c","MI0016684","chrX","+","74218549","74218618","3","242"
"Homo sapiens","hsa_152","hsa-mir-105-1","MI0000111","chrX","-","152392219","152392299","3","2274"
"Homo sapiens","hsa_152","hsa-mir-767","MI0003763","chrX","-","152393421","152393529","3","2274"
"Homo sapiens","hsa_152","hsa-mir-105-2","MI0000112","chrX","-","152394412","152394492","3","2274"
"Homo sapiens","hsa_20","hsa-mir-192","MI0000234","chr11","-","64891137","64891246","4","11319"
"Homo sapiens","hsa_20","hsa-mir-194-2","MI0000732","chr11","-","64891355","64891439","4","11319"
"Homo sapiens","hsa_20","hsa-mir-6750","MI0022595","chr11","-","64898363","64898437","4","11319"
"Homo sapiens","hsa_20","hsa-mir-6749","MI0022594","chr11","-","64902387","64902455","4","11319"
"Homo sapiens","hsa_36","hsa-mir-4539","MI0016910","chr14","-","105857513","105857572","4","2041"
"Homo sapiens","hsa_36","hsa-mir-4507","MI0016871","chr14","-","105858124","105858175","4","2041"
"Homo sapiens","hsa_36","hsa-mir-4538","MI0016909","chr14","-","105858165","105858242","4","2041"
"Homo sapiens","hsa_36","hsa-mir-4537","MI0016908","chr14","-","105859484","105859553","4","2041"
"Homo sapiens","hsa_54","hsa-mir-451a","MI0001729","chr17","-","28861369","28861440","4","362"
"Homo sapiens","hsa_54","hsa-mir-451b","MI0017360","chr17","+","28861371","28861438","4","362"
"Homo sapiens","hsa_54","hsa-mir-144","MI0000460","chr17","-","28861533","28861618","4","362"
"Homo sapiens","hsa_54","hsa-mir-4732","MI0017369","chr17","-","28861655","28861730","4","362"
"Homo sapiens","hsa_61","hsa-mir-657","MI0003681","chr17","-","81125276","81125373","4","8033"
"Homo sapiens","hsa_61","hsa-mir-3065","MI0014228","chr17","+","81125877","81125955","4","8033"
"Homo sapiens","hsa_61","hsa-mir-338","MI0000814","chr17","-","81125883","81125949","4","8033"
"Homo sapiens","hsa_61","hsa-mir-1250","MI0006385","chr17","-","81133196","81133308","4","8033"
"Homo sapiens","hsa_74","hsa-mir-371a","MI0000779","chr19","+","53787675","53787741","4","1099"
"Homo sapiens","hsa_74","hsa-mir-371b","MI0017393","chr19","-","53787677","53787742","4","1099"
"Homo sapiens","hsa_74","hsa-mir-372","MI0000780","chr19","+","53787890","53787956","4","1099"
"Homo sapiens","hsa_74","hsa-mir-373","MI0000781","chr19","+","53788705","53788773","4","1099"
"Homo sapiens","hsa_130","hsa-mir-23b","MI0000439","chr9","+","95085208","95085304","4","881"
"Homo sapiens","hsa_130","hsa-mir-27b","MI0000440","chr9","+","95085445","95085541","4","881"
"Homo sapiens","hsa_130","hsa-mir-3074","MI0014181","chr9","-","95086014","95086094","4","881"
"Homo sapiens","hsa_130","hsa-mir-24-1","MI0000080","chr9","+","95086021","95086088","4","881"
"Homo sapiens","hsa_148","hsa-mir-513a-2","MI0003192","chrX","-","147225826","147225952","4","11202"
"Homo sapiens","hsa_148","hsa-mir-506","MI0003193","chrX","-","147230720","147230843","4","11202"
"Homo sapiens","hsa_148","hsa-mir-507","MI0003194","chrX","-","147230984","147231077","4","11202"
"Homo sapiens","hsa_148","hsa-mir-508","MI0003195","chrX","-","147236913","147237027","4","11202"
"Homo sapiens","hsa_149","hsa-mir-514b","MI0014251","chrX","-","147250151","147250230","4","10475"
"Homo sapiens","hsa_149","hsa-mir-509-2","MI0005530","chrX","-","147258760","147258850","4","10475"
"Homo sapiens","hsa_149","hsa-mir-509-3","MI0005717","chrX","-","147259652","147259726","4","10475"
"Homo sapiens","hsa_149","hsa-mir-509-1","MI0003196","chrX","-","147260532","147260625","4","10475"
"Homo sapiens","hsa_150","hsa-mir-510","MI0003197","chrX","-","147272335","147272408","4","12394"
"Homo sapiens","hsa_150","hsa-mir-514a-1","MI0003198","chrX","-","147279247","147279344","4","12394"
"Homo sapiens","hsa_150","hsa-mir-514a-2","MI0003199","chrX","-","147281943","147282030","4","12394"
"Homo sapiens","hsa_150","hsa-mir-514a-3","MI0003200","chrX","-","147284641","147284728","4","12394"
"Homo sapiens","hsa_85","hsa-mir-941-1","MI0005763","chr20","+","63919449","63919520","5","491"
"Homo sapiens","hsa_85","hsa-mir-941-2","MI0005764","chr20","+","63919505","63919576","5","491"
"Homo sapiens","hsa_85","hsa-mir-941-3","MI0005765","chr20","+","63919561","63919632","5","491"
"Homo sapiens","hsa_85","hsa-mir-941-4","MI0005766","chr20","+","63919756","63919827","5","491"
"Homo sapiens","hsa_85","hsa-mir-941-5","MI0031520","chr20","+","63919868","63919939","5","491"
"Homo sapiens","hsa_99","hsa-mir-367","MI0000775","chr4","-","112647874","112647941","5","684"
"Homo sapiens","hsa_99","hsa-mir-302d","MI0000774","chr4","-","112648004","112648071","5","684"
"Homo sapiens","hsa_99","hsa-mir-302a","MI0000738","chr4","-","112648183","112648251","5","684"
"Homo sapiens","hsa_99","hsa-mir-302c","MI0000773","chr4","-","112648363","112648430","5","684"
"Homo sapiens","hsa_99","hsa-mir-302b","MI0000772","chr4","-","112648485","112648557","5","684"
"Homo sapiens","hsa_31","hsa-mir-17","MI0000071","chr13","+","91350605","91350688","6","787"
"Homo sapiens","hsa_31","hsa-mir-18a","MI0000072","chr13","+","91350751","91350821","6","787"
"Homo sapiens","hsa_31","hsa-mir-19a","MI0000073","chr13","+","91350891","91350972","6","787"
"Homo sapiens","hsa_31","hsa-mir-20a","MI0000076","chr13","+","91351065","91351135","6","787"
"Homo sapiens","hsa_31","hsa-mir-19b-1","MI0000074","chr13","+","91351192","91351278","6","787"
"Homo sapiens","hsa_31","hsa-mir-92a-1","MI0000093","chr13","+","91351314","91351391","6","787"
"Homo sapiens","hsa_144","hsa-mir-363","MI0000764","chrX","-","134169378","134169452","6","901"
"Homo sapiens","hsa_144","hsa-mir-92a-2","MI0000094","chrX","-","134169538","134169612","6","901"
"Homo sapiens","hsa_144","hsa-mir-19b-2","MI0000075","chrX","-","134169671","134169766","6","901"
"Homo sapiens","hsa_144","hsa-mir-20b","MI0001519","chrX","-","134169809","134169877","6","901"
"Homo sapiens","hsa_144","hsa-mir-18b","MI0001518","chrX","-","134170041","134170111","6","901"
"Homo sapiens","hsa_144","hsa-mir-106a","MI0000113","chrX","-","134170198","134170278","6","901"
"Homo sapiens","hsa_145","hsa-mir-450b","MI0005531","chrX","-","134540185","134540262","6","6527"
"Homo sapiens","hsa_145","hsa-mir-450a-1","MI0001652","chrX","-","134540341","134540431","6","6527"
"Homo sapiens","hsa_145","hsa-mir-450a-2","MI0003187","chrX","-","134540508","134540607","6","6527"
"Homo sapiens","hsa_145","hsa-mir-542","MI0003686","chrX","-","134541341","134541437","6","6527"
"Homo sapiens","hsa_145","hsa-mir-503","MI0003188","chrX","-","134546328","134546398","6","6527"
"Homo sapiens","hsa_145","hsa-mir-424","MI0001446","chrX","-","134546614","134546711","6","6527"
"Homo sapiens","hsa_146","hsa-mir-892c","MI0022560","chrX","-","145992750","145992826","6","8382"
"Homo sapiens","hsa_146","hsa-mir-890","MI0005533","chrX","-","145994275","145994351","6","8382"
"Homo sapiens","hsa_146","hsa-mir-888","MI0005537","chrX","-","145994784","145994860","6","8382"
"Homo sapiens","hsa_146","hsa-mir-892a","MI0005528","chrX","-","145996669","145996743","6","8382"
"Homo sapiens","hsa_146","hsa-mir-892b","MI0005538","chrX","-","145997198","145997274","6","8382"
"Homo sapiens","hsa_146","hsa-mir-891b","MI0005534","chrX","-","146001053","146001131","6","8382"
"Homo sapiens","hsa_135","hsa-mir-3689c","MI0016832","chr9","-","134849298","134849369","7","1510"
"Homo sapiens","hsa_135","hsa-mir-3689a","MI0016090","chr9","-","134849487","134849564","7","1510"
"Homo sapiens","hsa_135","hsa-mir-3689d-1","MI0016834","chr9","-","134849609","134849682","7","1510"
"Homo sapiens","hsa_135","hsa-mir-3689b","MI0016411","chr9","-","134850125","134850272","7","1510"
"Homo sapiens","hsa_135","hsa-mir-3689d-2","MI0016835","chr9","-","134850277","134850356","7","1510"
"Homo sapiens","hsa_135","hsa-mir-3689e","MI0016836","chr9","-","134850570","134850641","7","1510"
"Homo sapiens","hsa_135","hsa-mir-3689f","MI0016837","chr9","-","134850742","134850807","7","1510"
"Homo sapiens","hsa_33","hsa-mir-493","MI0003132","chr14","+","100869060","100869148","8","15724"
"Homo sapiens","hsa_33","hsa-mir-337","MI0000806","chr14","+","100874493","100874585","8","15724"
"Homo sapiens","hsa_33","hsa-mir-665","MI0005563","chr14","+","100875033","100875104","8","15724"
"Homo sapiens","hsa_33","hsa-mir-431","MI0001721","chr14","+","100881007","100881120","8","15724"
"Homo sapiens","hsa_33","hsa-mir-433","MI0001723","chr14","+","100881886","100881978","8","15724"
"Homo sapiens","hsa_33","hsa-mir-127","MI0000472","chr14","+","100882979","100883075","8","15724"
"Homo sapiens","hsa_33","hsa-mir-432","MI0003133","chr14","+","100884483","100884576","8","15724"
"Homo sapiens","hsa_33","hsa-mir-136","MI0000475","chr14","+","100884702","100884783","8","15724"
"Homo sapiens","hsa_137","hsa-mir-532","MI0003205","chrX","+","50003148","50003238","8","11536"
"Homo sapiens","hsa_137","hsa-mir-188","MI0000484","chrX","+","50003503","50003588","8","11536"
"Homo sapiens","hsa_137","hsa-mir-500a","MI0003184","chrX","+","50008431","50008514","8","11536"
"Homo sapiens","hsa_137","hsa-mir-362","MI0000762","chrX","+","50008964","50009028","8","11536"
"Homo sapiens","hsa_137","hsa-mir-501","MI0003185","chrX","+","50009722","50009805","8","11536"
"Homo sapiens","hsa_137","hsa-mir-500b","MI0015903","chrX","+","50010672","50010750","8","11536"
"Homo sapiens","hsa_137","hsa-mir-660","MI0003684","chrX","+","50013241","50013337","8","11536"
"Homo sapiens","hsa_137","hsa-mir-502","MI0003186","chrX","+","50014598","50014683","8","11536"
"Homo sapiens","hsa_34","hsa-mir-379","MI0000787","chr14","+","101022066","101022132","42","44736"
"Homo sapiens","hsa_34","hsa-mir-411","MI0003675","chr14","+","101023325","101023420","42","44736"
"Homo sapiens","hsa_34","hsa-mir-299","MI0000744","chr14","+","101023794","101023856","42","44736"
"Homo sapiens","hsa_34","hsa-mir-380","MI0000788","chr14","+","101025017","101025077","42","44736"
"Homo sapiens","hsa_34","hsa-mir-1197","MI0006656","chr14","+","101025564","101025651","42","44736"
"Homo sapiens","hsa_34","hsa-mir-323a","MI0000807","chr14","+","101025732","101025817","42","44736"
"Homo sapiens","hsa_34","hsa-mir-758","MI0003757","chr14","+","101026020","101026107","42","44736"
"Homo sapiens","hsa_34","hsa-mir-329-1","MI0001725","chr14","+","101026785","101026864","42","44736"
"Homo sapiens","hsa_34","hsa-mir-329-2","MI0001726","chr14","+","101027100","101027183","42","44736"
"Homo sapiens","hsa_34","hsa-mir-494","MI0003134","chr14","+","101029634","101029714","42","44736"
"Homo sapiens","hsa_34","hsa-mir-1193","MI0014205","chr14","+","101030052","101030129","42","44736"
"Homo sapiens","hsa_34","hsa-mir-543","MI0005565","chr14","+","101031987","101032064","42","44736"
"Homo sapiens","hsa_34","hsa-mir-495","MI0003135","chr14","+","101033755","101033836","42","44736"
"Homo sapiens","hsa_34","hsa-mir-376c","MI0000776","chr14","+","101039690","101039755","42","44736"
"Homo sapiens","hsa_34","hsa-mir-376a-2","MI0003529","chr14","+","101040069","101040148","42","44736"
"Homo sapiens","hsa_34","hsa-mir-654","MI0003676","chr14","+","101040219","101040299","42","44736"
"Homo sapiens","hsa_34","hsa-mir-376b","MI0002466","chr14","+","101040436","101040535","42","44736"
"Homo sapiens","hsa_34","hsa-mir-376a-1","MI0000784","chr14","+","101040782","101040849","42","44736"
"Homo sapiens","hsa_34","hsa-mir-300","MI0005525","chr14","+","101041363","101041445","42","44736"
"Homo sapiens","hsa_34","hsa-mir-1185-1","MI0003844","chr14","+","101042977","101043062","42","44736"
"Homo sapiens","hsa_34","hsa-mir-1185-2","MI0003821","chr14","+","101044198","101044283","42","44736"
"Homo sapiens","hsa_34","hsa-mir-381","MI0000789","chr14","+","101045920","101045994","42","44736"
"Homo sapiens","hsa_34","hsa-mir-487b","MI0003530","chr14","+","101046455","101046538","42","44736"
"Homo sapiens","hsa_34","hsa-mir-539","MI0003514","chr14","+","101047321","101047398","42","44736"
"Homo sapiens","hsa_34","hsa-mir-889","MI0005540","chr14","+","101047901","101047979","42","44736"
"Homo sapiens","hsa_34","hsa-mir-544a","MI0003515","chr14","+","101048658","101048748","42","44736"
"Homo sapiens","hsa_34","hsa-mir-655","MI0003677","chr14","+","101049550","101049646","42","44736"
"Homo sapiens","hsa_34","hsa-mir-487a","MI0002471","chr14","+","101052446","101052525","42","44736"
"Homo sapiens","hsa_34","hsa-mir-382","MI0000790","chr14","+","101054306","101054381","42","44736"
"Homo sapiens","hsa_34","hsa-mir-134","MI0000474","chr14","+","101054687","101054759","42","44736"
"Homo sapiens","hsa_34","hsa-mir-668","MI0003761","chr14","+","101055258","101055323","42","44736"
"Homo sapiens","hsa_34","hsa-mir-485","MI0002469","chr14","+","101055419","101055491","42","44736"
"Homo sapiens","hsa_34","hsa-mir-323b","MI0014206","chr14","+","101056219","101056300","42","44736"
"Homo sapiens","hsa_34","hsa-mir-154","MI0000480","chr14","+","101059755","101059838","42","44736"
"Homo sapiens","hsa_34","hsa-mir-496","MI0003136","chr14","+","101060573","101060674","42","44736"
"Homo sapiens","hsa_34","hsa-mir-377","MI0000785","chr14","+","101062050","101062118","42","44736"
"Homo sapiens","hsa_34","hsa-mir-541","MI0005539","chr14","+","101064495","101064578","42","44736"
"Homo sapiens","hsa_34","hsa-mir-409","MI0001735","chr14","+","101065300","101065378","42","44736"
"Homo sapiens","hsa_34","hsa-mir-412","MI0002464","chr14","+","101065447","101065537","42","44736"
"Homo sapiens","hsa_34","hsa-mir-369","MI0000777","chr14","+","101065598","101065667","42","44736"
"Homo sapiens","hsa_34","hsa-mir-410","MI0002465","chr14","+","101065912","101065991","42","44736"
"Homo sapiens","hsa_34","hsa-mir-656","MI0003678","chr14","+","101066724","101066801","42","44736"
"Homo sapiens","hsa_73","hsa-mir-512-1","MI0003140","chr19","+","53666679","53666762","46","95752"
"Homo sapiens","hsa_73","hsa-mir-512-2","MI0003141","chr19","+","53669157","53669254","46","95752"
"Homo sapiens","hsa_73","hsa-mir-1323","MI0003786","chr19","+","53671968","53672040","46","95752"
"Homo sapiens","hsa_73","hsa-mir-498","MI0003142","chr19","+","53674197","53674320","46","95752"
"Homo sapiens","hsa_73","hsa-mir-520e","MI0003143","chr19","+","53675711","53675797","46","95752"
"Homo sapiens","hsa_73","hsa-mir-515-1","MI0003144","chr19","+","53679003","53679085","46","95752"
"Homo sapiens","hsa_73","hsa-mir-519e","MI0003145","chr19","+","53679940","53680023","46","95752"
"Homo sapiens","hsa_73","hsa-mir-520f","MI0003146","chr19","+","53682159","53682245","46","95752"
"Homo sapiens","hsa_73","hsa-mir-515-2","MI0003147","chr19","+","53685009","53685091","46","95752"
"Homo sapiens","hsa_73","hsa-mir-519c","MI0003148","chr19","+","53686469","53686555","46","95752"
"Homo sapiens","hsa_73","hsa-mir-1283-1","MI0003832","chr19","+","53688481","53688567","46","95752"
"Homo sapiens","hsa_73","hsa-mir-520a","MI0003149","chr19","+","53690881","53690965","46","95752"
"Homo sapiens","hsa_73","hsa-mir-526b","MI0003150","chr19","+","53694393","53694475","46","95752"
"Homo sapiens","hsa_73","hsa-mir-519b","MI0003151","chr19","+","53695213","53695293","46","95752"
"Homo sapiens","hsa_73","hsa-mir-525","MI0003152","chr19","+","53697533","53697617","46","95752"
"Homo sapiens","hsa_73","hsa-mir-523","MI0003153","chr19","+","53698385","53698471","46","95752"
"Homo sapiens","hsa_73","hsa-mir-518f","MI0003154","chr19","+","53700015","53700101","46","95752"
"Homo sapiens","hsa_73","hsa-mir-520b","MI0003155","chr19","+","53701227","53701287","46","95752"
"Homo sapiens","hsa_73","hsa-mir-518b","MI0003156","chr19","+","53702737","53702819","46","95752"
"Homo sapiens","hsa_73","hsa-mir-526a-1","MI0003157","chr19","+","53706252","53706336","46","95752"
"Homo sapiens","hsa_73","hsa-mir-520c","MI0003158","chr19","+","53707453","53707539","46","95752"
"Homo sapiens","hsa_73","hsa-mir-518c","MI0003159","chr19","+","53708735","53708835","46","95752"
"Homo sapiens","hsa_73","hsa-mir-524","MI0003160","chr19","+","53711002","53711088","46","95752"
"Homo sapiens","hsa_73","hsa-mir-517a","MI0003161","chr19","+","53712268","53712354","46","95752"
"Homo sapiens","hsa_73","hsa-mir-519d","MI0003162","chr19","+","53713347","53713434","46","95752"
"Homo sapiens","hsa_73","hsa-mir-521-2","MI0003163","chr19","+","53716594","53716680","46","95752"
"Homo sapiens","hsa_73","hsa-mir-520d","MI0003164","chr19","+","53720096","53720182","46","95752"
"Homo sapiens","hsa_73","hsa-mir-517b","MI0003165","chr19","+","53721076","53721142","46","95752"
"Homo sapiens","hsa_73","hsa-mir-520g","MI0003166","chr19","+","53722166","53722255","46","95752"
"Homo sapiens","hsa_73","hsa-mir-516b-2","MI0003167","chr19","+","53725442","53725526","46","95752"
"Homo sapiens","hsa_73","hsa-mir-526a-2","MI0003168","chr19","+","53726922","53726986","46","95752"
"Homo sapiens","hsa_73","hsa-mir-518e","MI0003169","chr19","+","53729838","53729925","46","95752"
"Homo sapiens","hsa_73","hsa-mir-518a-1","MI0003170","chr19","+","53731006","53731090","46","95752"
"Homo sapiens","hsa_73","hsa-mir-518d","MI0003171","chr19","+","53734877","53734963","46","95752"
"Homo sapiens","hsa_73","hsa-mir-516b-1","MI0003172","chr19","+","53736845","53736934","46","95752"
"Homo sapiens","hsa_73","hsa-mir-518a-2","MI0003173","chr19","+","53739333","53739419","46","95752"
"Homo sapiens","hsa_73","hsa-mir-517c","MI0003174","chr19","+","53741313","53741407","46","95752"
"Homo sapiens","hsa_73","hsa-mir-520h","MI0003175","chr19","+","53742512","53742599","46","95752"
"Homo sapiens","hsa_73","hsa-mir-521-1","MI0003176","chr19","+","53748636","53748722","46","95752"
"Homo sapiens","hsa_73","hsa-mir-522","MI0003177","chr19","+","53751211","53751297","46","95752"
"Homo sapiens","hsa_73","hsa-mir-519a-1","MI0003178","chr19","+","53752397","53752481","46","95752"
"Homo sapiens","hsa_73","hsa-mir-527","MI0003179","chr19","+","53754018","53754102","46","95752"
"Homo sapiens","hsa_73","hsa-mir-516a-1","MI0003180","chr19","+","53756741","53756830","46","95752"
"Homo sapiens","hsa_73","hsa-mir-1283-2","MI0006430","chr19","+","53758232","53758318","46","95752"
"Homo sapiens","hsa_73","hsa-mir-516a-2","MI0003181","chr19","+","53761133","53761222","46","95752"
"Homo sapiens","hsa_73","hsa-mir-519a-2","MI0003182","chr19","+","53762344","53762430","46","95752"
