input_miRNA,base_name,Organism,Cluster ID,Accession,Chromosome,Strand,Start,Stop,Precursors in cluster,Spanning size of cluster
"hsa-mir-181a-2, mature,MIMAT0004558",hsa-mir-181a-2,Homo sapiens,hsa_131,MI0000269,chr9,+,124692442.0,124692551.0,2.0,1357.0
"hsa-mir-181b-1, mature,MIMAT0000257",hsa-mir-181b-1,Homo sapiens,hsa_11,MI0000270,chr1,-,198858873.0,198858982.0,2.0,281.0
"hsa-mir-181b-1, mature,MIMAT0022692",hsa-mir-181b-1,Homo sapiens,hsa_11,MI0000270,chr1,-,198858873.0,198858982.0,2.0,281.0
"hsa-mir-181b-2, mature,MIMAT0031893",hsa-mir-181b-2,Homo sapiens,hsa_131,MI0000683,chr9,+,124693710.0,124693798.0,2.0,1357.0
"hsa-mir-181c, mature,MIMAT0000258",hsa-mir-181c,Homo sapiens,hsa_69,MI0000271,chr19,+,13874699.0,13874808.0,2.0,313.0
"hsa-mir-181c, mature,MIMAT0004559",hsa-mir-181c,Homo sapiens,hsa_69,MI0000271,chr19,+,13874699.0,13874808.0,2.0,313.0
"hsa-mir-181d, mature,MIMAT0002821",hsa-mir-181d,Homo sapiens,hsa_69,MI0003139,chr19,+,13874875.0,13875011.0,2.0,313.0
"hsa-mir-181d, mature,MIMAT0026608",hsa-mir-181d,Homo sapiens,hsa_69,MI0003139,chr19,+,13874875.0,13875011.0,2.0,313.0
"hsa-mir-182, mature,MIMAT0000259",hsa-mir-182,Homo sapiens,hsa_115,MI0000272,chr7,-,129770383.0,129770492.0,3.0,4632.0
"hsa-mir-182, mature,MIMAT0000260",hsa-mir-182,Homo sapiens,hsa_115,MI0000272,chr7,-,129770383.0,129770492.0,3.0,4632.0
"hsa-mir-1825, mature,MIMAT0006765",hsa-mir-1825,,,,,,,,,
"hsa-mir-183, mature,MIMAT0000261",hsa-mir-183,Homo sapiens,hsa_115,MI0000273,chr7,-,129774905.0,129775014.0,3.0,4632.0
"hsa-mir-183, mature,MIMAT0004560",hsa-mir-183,Homo sapiens,hsa_115,MI0000273,chr7,-,129774905.0,129775014.0,3.0,4632.0
"hsa-mir-184, mature,MIMAT0000454",hsa-mir-184,,,,,,,,,
"hsa-mir-185, mature,MIMAT0000455",hsa-mir-185,,,,,,,,,
"hsa-mir-185, mature,MIMAT0004611",hsa-mir-185,,,,,,,,,
"hsa-mir-186, mature,MIMAT0000456",hsa-mir-186,,,,,,,,,
"hsa-mir-186, mature,MIMAT0004612",hsa-mir-186,,,,,,,,,
"hsa-mir-187, mature,MIMAT0000262",hsa-mir-187,,,,,,,,,
"hsa-mir-187, mature,MIMAT0004561",hsa-mir-187,,,,,,,,,
"hsa-mir-188, mature,MIMAT0000457",hsa-mir-188,Homo sapiens,hsa_137,MI0000484,chrX,+,50003503.0,50003588.0,8.0,11536.0
"hsa-mir-188, mature,MIMAT0004613",hsa-mir-188,Homo sapiens,hsa_137,MI0000484,chrX,+,50003503.0,50003588.0,8.0,11536.0
"hsa-mir-18a, mature,MIMAT0000072",hsa-mir-18a,Homo sapiens,hsa_31,MI0000072,chr13,+,91350751.0,91350821.0,6.0,787.0
"hsa-mir-18a, mature,MIMAT0002891",hsa-mir-18a,Homo sapiens,hsa_31,MI0000072,chr13,+,91350751.0,91350821.0,6.0,787.0
"hsa-mir-18b, mature,MIMAT0001412",hsa-mir-18b,Homo sapiens,hsa_144,MI0001518,chrX,-,134170041.0,134170111.0,6.0,901.0
"hsa-mir-18b, mature,MIMAT0004751",hsa-mir-18b,Homo sapiens,hsa_144,MI0001518,chrX,-,134170041.0,134170111.0,6.0,901.0
"hsa-mir-1908, mature,MIMAT0007881",hsa-mir-1908,,,,,,,,,
"hsa-mir-1908, mature,MIMAT0026916",hsa-mir-1908,,,,,,,,,
"hsa-mir-1909, mature,MIMAT0007882",hsa-mir-1909,,,,,,,,,
"hsa-mir-1909, mature,MIMAT0007883",hsa-mir-1909,,,,,,,,,
"hsa-mir-190a, mature,MIMAT0000458",hsa-mir-190a,,,,,,,,,
"hsa-mir-190a, mature,MIMAT0026482",hsa-mir-190a,,,,,,,,,
"hsa-mir-190b, mature,MIMAT0004929",hsa-mir-190b,,,,,,,,,
"hsa-mir-191, mature,MIMAT0000440",hsa-mir-191,Homo sapiens,hsa_96,MI0000465,chr3,-,49020618.0,49020709.0,2.0,562.0
"hsa-mir-191, mature,MIMAT0001618",hsa-mir-191,Homo sapiens,hsa_96,MI0000465,chr3,-,49020618.0,49020709.0,2.0,562.0
"hsa-mir-1910, mature,MIMAT0007884",hsa-mir-1910,,,,,,,,,
"hsa-mir-1910, mature,MIMAT0026917",hsa-mir-1910,,,,,,,,,
"hsa-mir-1911, mature,MIMAT0007885",hsa-mir-1911,,,,,,,,,
"hsa-mir-1911, mature,MIMAT0007886",hsa-mir-1911,,,,,,,,,
"hsa-mir-1912, mature,MIMAT0007887",hsa-mir-1912,Homo sapiens,hsa_143,MI0008333,chrX,+,114651544.0,114651623.0,2.0,1180.0
"hsa-mir-1913, mature,MIMAT0007888",hsa-mir-1913,,,,,,,,,
"hsa-mir-1914, mature,MIMAT0007889",hsa-mir-1914,Homo sapiens,hsa_86,MI0008335,chr20,-,63941465.0,63941544.0,2.0,1262.0
"hsa-mir-1914, mature,MIMAT0007890",hsa-mir-1914,Homo sapiens,hsa_86,MI0008335,chr20,-,63941465.0,63941544.0,2.0,1262.0
"hsa-mir-1915, mature,MIMAT0007891",hsa-mir-1915,,,,,,,,,
"hsa-mir-1915, mature,MIMAT0007892",hsa-mir-1915,,,,,,,,,
"hsa-mir-192, mature,MIMAT0000222",hsa-mir-192,Homo sapiens,hsa_20,MI0000234,chr11,-,64891137.0,64891246.0,4.0,11319.0
"hsa-mir-192, mature,MIMAT0004543",hsa-mir-192,Homo sapiens,hsa_20,MI0000234,chr11,-,64891137.0,64891246.0,4.0,11319.0
"hsa-mir-193a, mature,MIMAT0000459",hsa-mir-193a,,,,,,,,,
"hsa-mir-193a, mature,MIMAT0004614",hsa-mir-193a,,,,,,,,,
"hsa-mir-193b, mature,MIMAT0002819",hsa-mir-193b,Homo sapiens,hsa_42,MI0003137,chr16,+,14303967.0,14304049.0,2.0,5405.0
"hsa-mir-193b, mature,MIMAT0004767",hsa-mir-193b,Homo sapiens,hsa_42,MI0003137,chr16,+,14303967.0,14304049.0,2.0,5405.0
"hsa-mir-194-1, mature,MIMAT0000460",hsa-mir-194-1,Homo sapiens,hsa_13,MI0000488,chr1,-,220118157.0,220118241.0,2.0,389.0
"hsa-mir-194-2, mature,MIMAT0004671",hsa-mir-194-2,Homo sapiens,hsa_20,MI0000732,chr11,-,64891355.0,64891439.0,4.0,11319.0
"hsa-mir-195, mature,MIMAT0000461",hsa-mir-195,Homo sapiens,hsa_52,MI0000489,chr17,-,7017615.0,7017701.0,2.0,408.0
"hsa-mir-195, mature,MIMAT0004615",hsa-mir-195,Homo sapiens,hsa_52,MI0000489,chr17,-,7017615.0,7017701.0,2.0,408.0
"hsa-mir-196a-1, mature,MIMAT0000226",hsa-mir-196a-1,,,,,,,,,
"hsa-mir-196a-2, mature,MIMAT0004562",hsa-mir-196a-2,,,,,,,,,
"hsa-mir-196b, mature,MIMAT0001080",hsa-mir-196b,,,,,,,,,
"hsa-mir-196b, mature,MIMAT0009201",hsa-mir-196b,,,,,,,,,
"hsa-mir-197, mature,MIMAT0000227",hsa-mir-197,,,,,,,,,
"hsa-mir-197, mature,MIMAT0022691",hsa-mir-197,,,,,,,,,
"hsa-mir-1976, mature,MIMAT0009451",hsa-mir-1976,,,,,,,,,
"hsa-mir-198, mature,MIMAT0000228",hsa-mir-198,,,,,,,,,
"hsa-mir-199a-1, mature,MIMAT0000231",hsa-mir-199a-1,,,,,,,,,
"hsa-mir-199a-1, mature,MIMAT0000232",hsa-mir-199a-1,,,,,,,,,
"hsa-mir-199b, mature,MIMAT0000263",hsa-mir-199b,Homo sapiens,hsa_133,MI0000282,chr9,-,128244721.0,128244830.0,2.0,310.0
"hsa-mir-199b, mature,MIMAT0004563",hsa-mir-199b,Homo sapiens,hsa_133,MI0000282,chr9,-,128244721.0,128244830.0,2.0,310.0
"hsa-mir-19a, mature,MIMAT0000073",hsa-mir-19a,Homo sapiens,hsa_31,MI0000073,chr13,+,91350891.0,91350972.0,6.0,787.0
"hsa-mir-19a, mature,MIMAT0004490",hsa-mir-19a,Homo sapiens,hsa_31,MI0000073,chr13,+,91350891.0,91350972.0,6.0,787.0
"hsa-mir-19b-1, mature,MIMAT0000074",hsa-mir-19b-1,Homo sapiens,hsa_31,MI0000074,chr13,+,91351192.0,91351278.0,6.0,787.0
"hsa-mir-19b-1, mature,MIMAT0004491",hsa-mir-19b-1,Homo sapiens,hsa_31,MI0000074,chr13,+,91351192.0,91351278.0,6.0,787.0
"hsa-mir-19b-2, mature,MIMAT0004492",hsa-mir-19b-2,Homo sapiens,hsa_144,MI0000075,chrX,-,134169671.0,134169766.0,6.0,901.0
"hsa-mir-200a, mature,MIMAT0000682",hsa-mir-200a,Homo sapiens,hsa_1,MI0000737,chr1,+,1167863.0,1167952.0,3.0,1984.0
"hsa-mir-200a, mature,MIMAT0001620",hsa-mir-200a,Homo sapiens,hsa_1,MI0000737,chr1,+,1167863.0,1167952.0,3.0,1984.0
"hsa-mir-200b, mature,MIMAT0000318",hsa-mir-200b,Homo sapiens,hsa_1,MI0000342,chr1,+,1167104.0,1167198.0,3.0,1984.0
"hsa-mir-200b, mature,MIMAT0004571",hsa-mir-200b,Homo sapiens,hsa_1,MI0000342,chr1,+,1167104.0,1167198.0,3.0,1984.0
"hsa-mir-200c, mature,MIMAT0000617",hsa-mir-200c,Homo sapiens,hsa_24,MI0000650,chr12,+,6963699.0,6963766.0,2.0,493.0
"hsa-mir-200c, mature,MIMAT0004657",hsa-mir-200c,Homo sapiens,hsa_24,MI0000650,chr12,+,6963699.0,6963766.0,2.0,493.0
"hsa-mir-202, mature,MIMAT0002810",hsa-mir-202,,,,,,,,,
"hsa-mir-202, mature,MIMAT0002811",hsa-mir-202,,,,,,,,,
"hsa-mir-203a, mature,MIMAT0000264",hsa-mir-203a,Homo sapiens,hsa_35,MI0000283,chr14,+,104117405.0,104117514.0,2.0,99.0
"hsa-mir-203a, mature,MIMAT0031890",hsa-mir-203a,Homo sapiens,hsa_35,MI0000283,chr14,+,104117405.0,104117514.0,2.0,99.0
"hsa-mir-203b, mature,MIMAT0019814",hsa-mir-203b,Homo sapiens,hsa_35,MI0017343,chr14,-,104117418.0,104117503.0,2.0,99.0
"hsa-mir-204, mature,MIMAT0000265",hsa-mir-204,,,,,,,,,
"hsa-mir-204, mature,MIMAT0022693",hsa-mir-204,,,,,,,,,
"hsa-mir-205, mature,MIMAT0000266",hsa-mir-205,,,,,,,,,
"hsa-mir-205, mature,MIMAT0009197",hsa-mir-205,,,,,,,,,
"hsa-mir-206, mature,MIMAT0000462",hsa-mir-206,Homo sapiens,hsa_107,MI0000490,chr6,+,52144349.0,52144434.0,2.0,4693.0
"hsa-mir-208a, mature,MIMAT0000241",hsa-mir-208a,,,,,,,,,
"hsa-mir-208a, mature,MIMAT0026474",hsa-mir-208a,,,,,,,,,
"hsa-mir-208b, mature,MIMAT0004960",hsa-mir-208b,,,,,,,,,
"hsa-mir-208b, mature,MIMAT0026722",hsa-mir-208b,,,,,,,,,
"hsa-mir-20a, mature,MIMAT0000075",hsa-mir-20a,Homo sapiens,hsa_31,MI0000076,chr13,+,91351065.0,91351135.0,6.0,787.0
"hsa-mir-20a, mature,MIMAT0004493",hsa-mir-20a,Homo sapiens,hsa_31,MI0000076,chr13,+,91351065.0,91351135.0,6.0,787.0
"hsa-mir-20b, mature,MIMAT0001413",hsa-mir-20b,Homo sapiens,hsa_144,MI0001519,chrX,-,134169809.0,134169877.0,6.0,901.0
"hsa-mir-20b, mature,MIMAT0004752",hsa-mir-20b,Homo sapiens,hsa_144,MI0001519,chrX,-,134169809.0,134169877.0,6.0,901.0
"hsa-mir-21, mature,MIMAT0000076",hsa-mir-21,,,,,,,,,
"hsa-mir-21, mature,MIMAT0004494",hsa-mir-21,,,,,,,,,
"hsa-mir-210, mature,MIMAT0000267",hsa-mir-210,,,,,,,,,
"hsa-mir-210, mature,MIMAT0026475",hsa-mir-210,,,,,,,,,
"hsa-mir-211, mature,MIMAT0000268",hsa-mir-211,,,,,,,,,
"hsa-mir-211, mature,MIMAT0022694",hsa-mir-211,,,,,,,,,
"hsa-mir-2110, mature,MIMAT0010133",hsa-mir-2110,,,,,,,,,
"hsa-mir-2113, mature,MIMAT0009206",hsa-mir-2113,,,,,,,,,
"hsa-mir-2114, mature,MIMAT0011156",hsa-mir-2114,,,,,,,,,
"hsa-mir-2114, mature,MIMAT0011157",hsa-mir-2114,,,,,,,,,
"hsa-mir-2115, mature,MIMAT0011158",hsa-mir-2115,,,,,,,,,
"hsa-mir-2115, mature,MIMAT0011159",hsa-mir-2115,,,,,,,,,
"hsa-mir-2116, mature,MIMAT0011160",hsa-mir-2116,,,,,,,,,
"hsa-mir-2116, mature,MIMAT0011161",hsa-mir-2116,,,,,,,,,
"hsa-mir-2117, mature,MIMAT0011162",hsa-mir-2117,,,,,,,,,
"hsa-mir-212, mature,MIMAT0000269",hsa-mir-212,Homo sapiens,hsa_49,MI0000288,chr17,-,2050271.0,2050380.0,2.0,473.0
"hsa-mir-212, mature,MIMAT0022695",hsa-mir-212,Homo sapiens,hsa_49,MI0000288,chr17,-,2050271.0,2050380.0,2.0,473.0
"hsa-mir-214, mature,MIMAT0000271",hsa-mir-214,Homo sapiens,hsa_10,MI0000290,chr1,-,172138798.0,172138907.0,3.0,5847.0
"hsa-mir-214, mature,MIMAT0004564",hsa-mir-214,Homo sapiens,hsa_10,MI0000290,chr1,-,172138798.0,172138907.0,3.0,5847.0
"hsa-mir-215, mature,MIMAT0000272",hsa-mir-215,Homo sapiens,hsa_13,MI0000291,chr1,-,220117853.0,220117962.0,2.0,389.0
"hsa-mir-215, mature,MIMAT0026476",hsa-mir-215,Homo sapiens,hsa_13,MI0000291,chr1,-,220117853.0,220117962.0,2.0,389.0
"hsa-mir-216a, mature,MIMAT0000273",hsa-mir-216a,Homo sapiens,hsa_76,MI0000292,chr2,-,55988950.0,55989059.0,2.0,6093.0
"hsa-mir-216a, mature,MIMAT0022844",hsa-mir-216a,Homo sapiens,hsa_76,MI0000292,chr2,-,55988950.0,55989059.0,2.0,6093.0
"hsa-mir-216b, mature,MIMAT0004959",hsa-mir-216b,,,,,,,,,
"hsa-mir-216b, mature,MIMAT0026721",hsa-mir-216b,,,,,,,,,
"hsa-mir-217, mature,MIMAT0000274",hsa-mir-217,Homo sapiens,hsa_76,MI0000293,chr2,-,55982967.0,55983076.0,2.0,6093.0
"hsa-mir-218-1, mature,MIMAT0000275",hsa-mir-218-1,,,,,,,,,
"hsa-mir-218-1, mature,MIMAT0004565",hsa-mir-218-1,,,,,,,,,
"hsa-mir-218-2, mature,MIMAT0004566",hsa-mir-218-2,,,,,,,,,
"hsa-mir-219a-1, mature,MIMAT0000276",hsa-mir-219a-1,,,,,,,,,
"hsa-mir-219a-1, mature,MIMAT0004567",hsa-mir-219a-1,,,,,,,,,
"hsa-mir-219a-2, mature,MIMAT0004675",hsa-mir-219a-2,Homo sapiens,hsa_134,MI0000740,chr9,-,128392618.0,128392714.0,2.0,91.0
"hsa-mir-219b, mature,MIMAT0019747",hsa-mir-219b,Homo sapiens,hsa_134,MI0017299,chr9,+,128392621.0,128392708.0,2.0,91.0
"hsa-mir-219b, mature,MIMAT0019748",hsa-mir-219b,Homo sapiens,hsa_134,MI0017299,chr9,+,128392621.0,128392708.0,2.0,91.0
"hsa-mir-22, mature,MIMAT0000077",hsa-mir-22,,,,,,,,,
"hsa-mir-22, mature,MIMAT0004495",hsa-mir-22,,,,,,,,,
"hsa-mir-221, mature,MIMAT0000278",hsa-mir-221,Homo sapiens,hsa_136,MI0000298,chrX,-,45746157.0,45746266.0,2.0,968.0
"hsa-mir-221, mature,MIMAT0004568",hsa-mir-221,Homo sapiens,hsa_136,MI0000298,chrX,-,45746157.0,45746266.0,2.0,968.0
"hsa-mir-222, mature,MIMAT0000279",hsa-mir-222,Homo sapiens,hsa_136,MI0000299,chrX,-,45747015.0,45747124.0,2.0,968.0
"hsa-mir-222, mature,MIMAT0004569",hsa-mir-222,Homo sapiens,hsa_136,MI0000299,chrX,-,45747015.0,45747124.0,2.0,968.0
"hsa-mir-223, mature,MIMAT0000280",hsa-mir-223,,,,,,,,,
"hsa-mir-223, mature,MIMAT0004570",hsa-mir-223,,,,,,,,,
"hsa-mir-224, mature,MIMAT0000281",hsa-mir-224,Homo sapiens,hsa_151,MI0000301,chrX,-,151958578.0,151958658.0,2.0,1135.0
"hsa-mir-224, mature,MIMAT0009198",hsa-mir-224,Homo sapiens,hsa_151,MI0000301,chrX,-,151958578.0,151958658.0,2.0,1135.0
"hsa-mir-2276, mature,MIMAT0011775",hsa-mir-2276,,,,,,,,,
"hsa-mir-2276, mature,MIMAT0026921",hsa-mir-2276,,,,,,,,,
"hsa-mir-2277, mature,MIMAT0011777",hsa-mir-2277,,,,,,,,,
"hsa-mir-2277, mature,MIMAT0017352",hsa-mir-2277,,,,,,,,,
"hsa-mir-2278, mature,MIMAT0011778",hsa-mir-2278,,,,,,,,,
"hsa-mir-2355, mature,MIMAT0016895",hsa-mir-2355,,,,,,,,,
"hsa-mir-2355, mature,MIMAT0017950",hsa-mir-2355,,,,,,,,,
"hsa-mir-23a, mature,MIMAT0000078",hsa-mir-23a,Homo sapiens,hsa_68,MI0000079,chr19,-,13836587.0,13836659.0,3.0,373.0
"hsa-mir-23a, mature,MIMAT0004496",hsa-mir-23a,Homo sapiens,hsa_68,MI0000079,chr19,-,13836587.0,13836659.0,3.0,373.0
"hsa-mir-23b, mature,MIMAT0000418",hsa-mir-23b,Homo sapiens,hsa_130,MI0000439,chr9,+,95085208.0,95085304.0,4.0,881.0
"hsa-mir-23b, mature,MIMAT0004587",hsa-mir-23b,Homo sapiens,hsa_130,MI0000439,chr9,+,95085208.0,95085304.0,4.0,881.0
"hsa-mir-23c, mature,MIMAT0018000",hsa-mir-23c,,,,,,,,,
"hsa-mir-24-1, mature,MIMAT0000079",hsa-mir-24-1,Homo sapiens,hsa_130,MI0000080,chr9,+,95086021.0,95086088.0,4.0,881.0
"hsa-mir-24-1, mature,MIMAT0000080",hsa-mir-24-1,Homo sapiens,hsa_130,MI0000080,chr9,+,95086021.0,95086088.0,4.0,881.0
"hsa-mir-24-2, mature,MIMAT0004497",hsa-mir-24-2,Homo sapiens,hsa_68,MI0000081,chr19,-,13836287.0,13836359.0,3.0,373.0
"hsa-mir-2467, mature,MIMAT0019952",hsa-mir-2467,,,,,,,,,
"hsa-mir-25, mature,MIMAT0000081",hsa-mir-25,Homo sapiens,hsa_113,MI0000082,chr7,-,100093560.0,100093643.0,3.0,515.0
"hsa-mir-25, mature,MIMAT0004498",hsa-mir-25,Homo sapiens,hsa_113,MI0000082,chr7,-,100093560.0,100093643.0,3.0,515.0
"hsa-mir-2681, mature,MIMAT0013515",hsa-mir-2681,,,,,,,,,
"hsa-mir-2681, mature,MIMAT0013516",hsa-mir-2681,,,,,,,,,
"hsa-mir-2682, mature,MIMAT0013517",hsa-mir-2682,Homo sapiens,hsa_7,MI0012063,chr1,-,98045242.0,98045351.0,2.0,930.0
"hsa-mir-2682, mature,MIMAT0013518",hsa-mir-2682,Homo sapiens,hsa_7,MI0012063,chr1,-,98045242.0,98045351.0,2.0,930.0
"hsa-mir-26a-1, mature,MIMAT0000082",hsa-mir-26a-1,,,,,,,,,
"hsa-mir-26a-1, mature,MIMAT0004499",hsa-mir-26a-1,,,,,,,,,
"hsa-mir-26a-2, mature,MIMAT0004681",hsa-mir-26a-2,,,,,,,,,
"hsa-mir-26b, mature,MIMAT0000083",hsa-mir-26b,,,,,,,,,
"hsa-mir-26b, mature,MIMAT0004500",hsa-mir-26b,,,,,,,,,
"hsa-mir-27a, mature,MIMAT0000084",hsa-mir-27a,Homo sapiens,hsa_68,MI0000085,chr19,-,13836440.0,13836517.0,3.0,373.0
"hsa-mir-27a, mature,MIMAT0004501",hsa-mir-27a,Homo sapiens,hsa_68,MI0000085,chr19,-,13836440.0,13836517.0,3.0,373.0
"hsa-mir-27b, mature,MIMAT0000419",hsa-mir-27b,Homo sapiens,hsa_130,MI0000440,chr9,+,95085445.0,95085541.0,4.0,881.0
"hsa-mir-27b, mature,MIMAT0004588",hsa-mir-27b,Homo sapiens,hsa_130,MI0000440,chr9,+,95085445.0,95085541.0,4.0,881.0
"hsa-mir-28, mature,MIMAT0000085",hsa-mir-28,,,,,,,,,
"hsa-mir-28, mature,MIMAT0004502",hsa-mir-28,,,,,,,,,
"hsa-mir-296, mature,MIMAT0000690",hsa-mir-296,Homo sapiens,hsa_84,MI0000747,chr20,-,58817615.0,58817694.0,2.0,699.0
"hsa-mir-296, mature,MIMAT0004679",hsa-mir-296,Homo sapiens,hsa_84,MI0000747,chr20,-,58817615.0,58817694.0,2.0,699.0
"hsa-mir-299, mature,MIMAT0000687",hsa-mir-299,Homo sapiens,hsa_34,MI0000744,chr14,+,101023794.0,101023856.0,42.0,44736.0
"hsa-mir-299, mature,MIMAT0002890",hsa-mir-299,Homo sapiens,hsa_34,MI0000744,chr14,+,101023794.0,101023856.0,42.0,44736.0
"hsa-mir-29a, mature,MIMAT0000086",hsa-mir-29a,Homo sapiens,hsa_116,MI0000087,chr7,-,130876747.0,130876810.0,2.0,793.0
"hsa-mir-29a, mature,MIMAT0004503",hsa-mir-29a,Homo sapiens,hsa_116,MI0000087,chr7,-,130876747.0,130876810.0,2.0,793.0
"hsa-mir-29b-1, mature,MIMAT0000100",hsa-mir-29b-1,Homo sapiens,hsa_116,MI0000105,chr7,-,130877459.0,130877539.0,2.0,793.0
"hsa-mir-29b-1, mature,MIMAT0004514",hsa-mir-29b-1,Homo sapiens,hsa_116,MI0000105,chr7,-,130877459.0,130877539.0,2.0,793.0
"hsa-mir-29b-2, mature,MIMAT0004515",hsa-mir-29b-2,Homo sapiens,hsa_12,MI0000107,chr1,-,207802443.0,207802523.0,2.0,672.0
"hsa-mir-29c, mature,MIMAT0000681",hsa-mir-29c,Homo sapiens,hsa_12,MI0000735,chr1,-,207801852.0,207801939.0,2.0,672.0
"hsa-mir-29c, mature,MIMAT0004673",hsa-mir-29c,Homo sapiens,hsa_12,MI0000735,chr1,-,207801852.0,207801939.0,2.0,672.0
"hsa-mir-300, mature,MIMAT0004903",hsa-mir-300,Homo sapiens,hsa_34,MI0005525,chr14,+,101041363.0,101041445.0,42.0,44736.0
"hsa-mir-301a, mature,MIMAT0000688",hsa-mir-301a,,,,,,,,,
"hsa-mir-301a, mature,MIMAT0022696",hsa-mir-301a,,,,,,,,,
"hsa-mir-301b, mature,MIMAT0004958",hsa-mir-301b,Homo sapiens,hsa_91,MI0005568,chr22,+,21652981.0,21653058.0,2.0,405.0
"hsa-mir-301b, mature,MIMAT0032026",hsa-mir-301b,Homo sapiens,hsa_91,MI0005568,chr22,+,21652981.0,21653058.0,2.0,405.0
"hsa-mir-302a, mature,MIMAT0000683",hsa-mir-302a,Homo sapiens,hsa_99,MI0000738,chr4,-,112648183.0,112648251.0,5.0,684.0
"hsa-mir-302a, mature,MIMAT0000684",hsa-mir-302a,Homo sapiens,hsa_99,MI0000738,chr4,-,112648183.0,112648251.0,5.0,684.0
"hsa-mir-302b, mature,MIMAT0000714",hsa-mir-302b,Homo sapiens,hsa_99,MI0000772,chr4,-,112648485.0,112648557.0,5.0,684.0
"hsa-mir-302b, mature,MIMAT0000715",hsa-mir-302b,Homo sapiens,hsa_99,MI0000772,chr4,-,112648485.0,112648557.0,5.0,684.0
"hsa-mir-302c, mature,MIMAT0000716",hsa-mir-302c,Homo sapiens,hsa_99,MI0000773,chr4,-,112648363.0,112648430.0,5.0,684.0
"hsa-mir-302c, mature,MIMAT0000717",hsa-mir-302c,Homo sapiens,hsa_99,MI0000773,chr4,-,112648363.0,112648430.0,5.0,684.0
"hsa-mir-302d, mature,MIMAT0000718",hsa-mir-302d,Homo sapiens,hsa_99,MI0000774,chr4,-,112648004.0,112648071.0,5.0,684.0
"hsa-mir-302d, mature,MIMAT0004685",hsa-mir-302d,Homo sapiens,hsa_99,MI0000774,chr4,-,112648004.0,112648071.0,5.0,684.0
"hsa-mir-302e, mature,MIMAT0005931",hsa-mir-302e,,,,,,,,,
"hsa-mir-3064, mature,MIMAT0019864",hsa-mir-3064,Homo sapiens,hsa_58,MI0017375,chr17,-,64500774.0,64500839.0,2.0,540.0
"hsa-mir-3064, mature,MIMAT0019865",hsa-mir-3064,Homo sapiens,hsa_58,MI0017375,chr17,-,64500774.0,64500839.0,2.0,540.0
"hsa-mir-3065, mature,MIMAT0015066",hsa-mir-3065,Homo sapiens,hsa_61,MI0014228,chr17,+,81125877.0,81125955.0,4.0,8033.0
"hsa-mir-3065, mature,MIMAT0015378",hsa-mir-3065,Homo sapiens,hsa_61,MI0014228,chr17,+,81125877.0,81125955.0,4.0,8033.0
"hsa-mir-3074, mature,MIMAT0015027",hsa-mir-3074,Homo sapiens,hsa_130,MI0014181,chr9,-,95086014.0,95086094.0,4.0,881.0
"hsa-mir-3074, mature,MIMAT0019208",hsa-mir-3074,Homo sapiens,hsa_130,MI0014181,chr9,-,95086014.0,95086094.0,4.0,881.0
"hsa-mir-30a, mature,MIMAT0000087",hsa-mir-30a,,,,,,,,,
"hsa-mir-30a, mature,MIMAT0000088",hsa-mir-30a,,,,,,,,,
"hsa-mir-30b, mature,MIMAT0000420",hsa-mir-30b,Homo sapiens,hsa_126,MI0000441,chr8,-,134800520.0,134800607.0,2.0,4426.0
"hsa-mir-30b, mature,MIMAT0004589",hsa-mir-30b,Homo sapiens,hsa_126,MI0000441,chr8,-,134800520.0,134800607.0,2.0,4426.0
"hsa-mir-30c-1, mature,MIMAT0000244",hsa-mir-30c-1,Homo sapiens,hsa_2,MI0000736,chr1,+,40757284.0,40757372.0,2.0,3018.0
"hsa-mir-30c-1, mature,MIMAT0004674",hsa-mir-30c-1,Homo sapiens,hsa_2,MI0000736,chr1,+,40757284.0,40757372.0,2.0,3018.0
"hsa-mir-30c-2, mature,MIMAT0004550",hsa-mir-30c-2,,,,,,,,,
"hsa-mir-30d, mature,MIMAT0000245",hsa-mir-30d,Homo sapiens,hsa_126,MI0000255,chr8,-,134804876.0,134804945.0,2.0,4426.0
"hsa-mir-30d, mature,MIMAT0004551",hsa-mir-30d,Homo sapiens,hsa_126,MI0000255,chr8,-,134804876.0,134804945.0,2.0,4426.0
"hsa-mir-30e, mature,MIMAT0000692",hsa-mir-30e,Homo sapiens,hsa_2,MI0000749,chr1,+,40754355.0,40754446.0,2.0,3018.0
"hsa-mir-30e, mature,MIMAT0000693",hsa-mir-30e,Homo sapiens,hsa_2,MI0000749,chr1,+,40754355.0,40754446.0,2.0,3018.0
"hsa-mir-31, mature,MIMAT0000089",hsa-mir-31,,,,,,,,,
"hsa-mir-31, mature,MIMAT0004504",hsa-mir-31,,,,,,,,,
"hsa-mir-3115, mature,MIMAT0014977",hsa-mir-3115,,,,,,,,,
"hsa-mir-3116-1, mature,MIMAT0014978",hsa-mir-3116-1,Homo sapiens,hsa_5,MI0014128,chr1,+,62078786.0,62078859.0,2.0,71.0
"hsa-mir-3117, mature,MIMAT0014979",hsa-mir-3117,,,,,,,,,
"hsa-mir-3117, mature,MIMAT0019197",hsa-mir-3117,,,,,,,,,
"hsa-mir-3119-2, mature,MIMAT0014981",hsa-mir-3119-2,Homo sapiens,hsa_8,MI0014135,chr1,+,170151378.0,170151462.0,2.0,85.0
